member_id,landing_page_type,os,pref_id,occupation_id,age,mail_domain_type
2976723,search_hello,smartphone,25,5,41,gmail
2976843,detail,windows,21,328,43,gmail
2976863,search_hello,smartphone,1,7,39,softbank
2977155,jobshil_post,,47,345,23,gmail
2977491,jobshil_post,smartphone,13,5,25,other
2977689,jobshil_other,smartphone,11,49,26,other
2977719,search_hello,windows,13,1,42,docomo
2977787,search_other,smartphone,23,299,24,docomo
2977932,search_hello,smartphone,23,220,17,icloud
2977943,detail,smartphone,15,14,29,gmail
2978274,search_hello,smartphone,1,5,29,softbank
2978402,detail,smartphone,23,227,25,icloud
2979039,search_hello,smartphone,13,5,28,yahoo
2979121,search_hello,smartphone,40,152,21,softbank
2979170,search_hello,smartphone,12,296,47,gmail
2979335,detail,Mac OSX,14,226,47,gmail
2979809,search_hello,smartphone,11,40,28,gmail
2979924,search_hello,,19,330,45,docomo
2979960,search_hello,smartphone,27,15,21,yahoo
2980141,search_hello,,11,142,20,gmail
2980241,search_hello,smartphone,4,35,48,ezweb
2980287,search_hello,smartphone,26,204,24,other
2980444,detail,smartphone,13,14,55,docomo
2981223,search_hello,smartphone,13,14,34,softbank
2981397,search_hello,smartphone,20,99,48,docomo
2981566,detail,smartphone,45,40,20,other
2981933,search_hello,,14,366,49,yahoo
2982075,search_hello,,34,8,23,gmail
2982116,jobshil_post,smartphone,8,343,24,icloud
2983242,detail_hello,smartphone,30,12,25,softbank
2983418,search_hello,smartphone,47,48,21,icloud
2983429,search_other,smartphone,17,228,25,icloud
2983476,search_multi,windows,13,29,29,gmail
2983502,search_hello,,9,14,25,docomo
2984405,search_hello,smartphone,40,14,43,other
2986203,search_multi,smartphone,25,142,46,docomo
2986394,detail,windows,22,271,49,gmail
2986636,jobshil_post,,12,99,30,other
2986886,jobshil_post,smartphone,22,367,23,icloud
2986983,,,14,32,23,other
2987325,search_hello,Mac OSX,13,334,23,icloud
2988500,jobshil_post,,13,299,55,gmail
2988513,search_hello,smartphone,27,217,50,icloud
2988664,search_hello,smartphone,20,15,24,icloud
2990107,search_hello,smartphone,22,96,21,docomo
2990896,detail,smartphone,22,297,22,other
2991195,search_city,smartphone,14,342,33,other
2991542,search_hello,smartphone,12,14,22,yahoo
2992050,jobshil_post,,14,139,51,ezweb
2993228,search_hello,smartphone,26,222,31,icloud
2993781,search_other,,14,218,19,gmail
2993939,detail,smartphone,12,24,23,gmail
2994334,detail,smartphone,8,343,25,yahoo
2995156,search_hello,smartphone,34,226,25,gmail
2995352,search_hello,smartphone,15,14,31,gmail
2995525,detail,,13,362,25,ezweb
2997360,search_multi,,47,63,19,icloud
2997447,jobshil_post,smartphone,27,31,22,icloud
2997891,detail_hello,,47,14,21,gmail
2997914,search_stati,smartphone,43,187,23,docomo
2998064,search_hello,smartphone,47,14,26,ezweb
2998476,search_hello,smartphone,13,14,45,yahoo
2998828,search_other,,34,40,21,yahoo
2999051,jobshil_post,smartphone,7,13,40,softbank
2999264,detail,windows,38,139,29,gmail
2999556,jobshil_post,smartphone,14,96,26,ezweb
2999656,search_hello,smartphone,13,16,20,icloud
2999859,search_other,smartphone,43,221,24,gmail
3001281,detail,smartphone,14,278,25,other
2965051,search_hello,smartphone,16,210,21,icloud
2965121,search_other,smartphone,45,338,15,other
2965323,search_hello,,23,14,22,other
2965328,search_hello,,27,14,19,docomo
2965417,search_hello,,28,367,27,softbank
2965541,search_hello,,23,35,43,docomo
2965609,search_hello,smartphone,40,35,20,icloud
2965626,search_hello,,41,217,29,softbank
2965629,detail,smartphone,27,221,50,gmail
2965794,search_other,smartphone,4,40,26,gmail
2966131,search_hello,smartphone,22,204,24,softbank
2966300,search_hello,smartphone,30,14,26,other
2966338,detail,smartphone,8,357,20,icloud
2966421,search_hello,smartphone,8,1,29,softbank
2966689,search_hello,smartphone,1,173,24,gmail
2967198,search_hello,windows,26,35,23,other
2967256,search_custom,smartphone,23,14,35,ezweb
2967668,search_hello,smartphone,40,40,38,docomo
2968252,detail,smartphone,37,35,22,icloud
2968460,detail,,19,325,47,icloud
2968466,search_hello,smartphone,23,170,25,yahoo
2968488,detail,smartphone,1,329,23,other
2968866,detail,smartphone,26,227,21,gmail
2968905,detail,windows,13,152,24,other
2969045,search_hello,windows,1,14,40,yahoo
2969119,jobshil_post,,24,368,30,docomo
2969165,detail,,21,112,55,softbank
2969336,search_hello,smartphone,13,156,30,gmail
2969466,jobshil_post,smartphone,35,35,23,icloud
2969531,detail,smartphone,4,210,26,icloud
2970424,search_hello,windows,23,20,50,other
2970586,search_hello,smartphone,23,14,23,ezweb
2970807,search_hello,,15,226,39,other
2970932,search_hello,smartphone,25,14,21,gmail
2971022,search_multi,smartphone,43,227,29,other
2971060,jobshil_post,,21,214,28,ezweb
2971577,search_hello,smartphone,8,368,20,icloud
2971915,detail_hello,smartphone,8,224,28,other
2972004,search_hello,smartphone,28,14,21,yahoo
2972555,search_hello,smartphone,34,146,20,docomo
2972556,detail,smartphone,23,14,41,gmail
2972561,detail,smartphone,27,14,21,ezweb
2972706,detail,windows,3,225,33,other
2972840,search_hello,smartphone,25,238,23,icloud
2972981,detail,smartphone,26,1,35,yahoo
2972993,detail,smartphone,14,223,48,icloud
2973114,search_other,smartphone,45,35,37,other
2973219,search_hello,smartphone,9,342,26,icloud
2973468,jobshil_post,smartphone,36,1,21,icloud
2973579,search_hello,smartphone,20,2,25,ezweb
2973600,hello,smartphone,13,82,54,gmail
2973746,detail_hello,smartphone,47,14,26,gmail
2973804,search_hello,smartphone,13,369,53,gmail
2973822,search_hello,smartphone,26,1,22,gmail
