member_id,page_type,hit,trajectory,stay
2976224,search_user,1,4721,35
2975535,search_user,6,28057,79
2973094,mypage_scout,3,3352,120
2971343,search_user,5,13992,508
2971401,detail,4,20700,108
2969562,search_other,1,8197,5
2969416,else,1,1331,93
2968915,detail,1,3095,23
2968890,search_multi,1,187,7
2968162,detail,4,16863,134
2968167,search_other,3,9343,60
2966786,search_multi,1,293,847
2965113,detail,2,8467,65
2999284,detail,1,16,181
2997739,entry,2,2972,66
2996332,search_user,3,19998,94
2989887,else,1,94,93
2985024,detail,3,30230,369
2984815,login,2,462,77
2984136,search_other,1,9915,16
2981524,register,2,160,57
2978562,mypage_consider,1,27,61
2976041,search_multi,3,27110,60
2971137,register,1,412,6
2969929,search_other,1,2183,83
2969467,detail,5,20488,325
2981842,search_other,3,21853,661
2968468,detail,3,7063,46
2967344,mypage_index,5,3472,368
2966952,detail,1,1084,13
2966504,edit_hope,2,145,60
2966018,search_multi,2,705,239
3000867,search_user,4,26215,280
2998119,mypage_index,1,432,10
2996833,search_multi,1,1144,1505
2991113,detail,1,11417,135
2987659,search_user,3,7240,223
2985671,search_other,2,6367,1466
2984705,search_multi,2,4547,71
2982977,search_pref,2,12190,59
2980175,detail,1,0,26
2979039,search_user,6,4731,835
2976943,search_other,3,2376,119
2976006,search_user,2,7622,113
2975496,entry,1,481,1
2975439,search_other,2,5680,533
2974260,detail,1,7864,32
2966513,search_user,3,9281,195
2965247,edit_resume,1,2428,19
2972203,search_other,4,11152,41211
2999421,search_user,5,44606,512
2994478,search_user,3,9470,110
2992764,register,1,824,80
2989251,search_multi,2,4800,32
2981310,mypage_index,2,3659,49
2979879,register,1,759,72
2979227,detail,1,3922,40
2978517,search_other,2,24300,596
2977464,else,3,4456,72
2977742,else,6,1171,211
2976831,register,2,473,49
2976583,register,2,1020,54
2975302,search_other,3,6095,59
2974517,mypage_index,2,149,28
2973239,register,1,568,15
2972433,detail,2,11948,365
2970226,mypage_index,1,864,37
2993458,else,4,3985,1921
2998067,register,1,714,62
2992923,detail,4,9357,1798
2987166,detail,2,7702,48
2986259,register,1,609,136
2980871,register,1,665,4
2980692,register,2,985,57
2979940,mypage_scout,2,2658,79
2979187,search_other,4,15395,56
2975432,else,1,173,10
2974691,detail,3,31166,103
2974538,else,1,2346,67
2973255,register,1,0,140
2971674,search_multi,1,12732,39
2971555,register,1,810,15
2968166,register,1,752,1
2967264,register,1,0,18
2966558,detail,4,20168,201
2965876,mypage_index,3,1913,215
2999539,search_other,2,18914,5809
2986499,search_user,2,733,56
2985870,search_pref,1,10510,108
2980333,edit_resume,1,4810,17
2976307,mypage_scout,1,1144,6
2977231,entry,1,1982,43
2975494,login,1,176,4
2975882,register,1,500,12
2975225,register,1,572,70
2972993,search_other,3,11382,251
2972108,search_multi,1,652,5
2971433,mypage_scout,1,600,36
2971242,search_user,4,18000,444
2969667,search_other,5,20072,9751
2969273,entry,1,1509,28
2967915,search_user,1,10886,86
2967867,search_other,1,8809,7
2966394,register,4,870,119
2965943,register,1,531,13
2965506,register,1,884,45
2965426,else,3,2182,169
2965287,else,3,2654,140
2990143,search_other,3,9959,2292
2985069,mypage_index,4,1482,205
2982116,search_user,2,3555,33
2973647,search_user,1,3611,15
2970306,search_user,1,1168,10
2969609,search_user,1,9610,13
2969166,login,1,104,20
2968011,else,3,3520,910
2966922,search_user,4,7345,162
2965546,detail,2,5688,336
3000327,edit_resume,2,4272,34
2998796,search_other,1,9899,13
2990443,entry,1,2309,40
2984878,register,1,684,11
2981314,register,2,1669,58
2979158,search_user,3,7877,137
2976488,detail,5,8507,218
2975543,register,1,498,8
2973633,detail,2,4556,105
2971577,detail,3,23508,122
2969812,search_other,1,824,25
2967851,search_other,1,154,5
2967119,detail,3,3358,256
2965629,else,2,1433,40
3000421,register,2,521,37
2998895,search_other,1,296,271
2992764,mypage_scout,1,1849,363
2983801,search_other,3,10555,1189
2981706,entry,4,3515,167
2976481,detail,3,10040,196
2975562,search_pref,1,3324,11
2975393,search_user,3,18414,37
2975357,search_user,8,38741,239
2974213,register,1,497,29
2973318,register,1,848,12
2967398,register,2,576,74
2966605,mypage_scout,2,3240,7
2998305,search_multi,1,2206,1615
2993260,register,1,122,195
2992936,search_multi,2,2491,1884
2988460,search_multi,2,3992,60
2983165,detail,2,9029,294
2980900,search_other,1,240,45
2976491,search_multi,1,3759,40
2970828,mypage_index,2,1426,30
2970286,else,1,2029,36
2969642,detail,6,45411,186
2967902,search_user,2,8956,107
2966961,search_city,1,952,42
2966329,mypage_index,1,0,40
2965514,edit_scout,4,2032,70
2991831,else,1,11599,17
2984774,search_city,1,10663,10
2977749,register,1,675,3
2976554,mypage_consider,1,34,31
2976411,search_other,3,169,23
2976264,detail,3,7067,85
2972675,login,2,200,141
2968705,register,1,531,79
2966623,register,1,420,17
2993575,detail,2,16949,92
2988577,detail,1,1385,20
2980901,register,2,787,39
2977137,mypage_scout,1,975,33
2977338,search_multi,6,18711,110
2973345,search_multi,1,3825,74
2970636,login,1,101,12
2998305,mypage_scout,2,3058,278
2997954,detail,34,156921,2024
2998630,entry,3,6394,576
2996312,detail,4,9259,253
2995544,search_user,8,47358,500
2995270,mypage_index,1,823,2
2995020,mypage_consider,6,2829,298
2992388,mypage_index,2,674,517
2991765,search_other,1,4335,6
2990340,search_pref,1,9322,272
2988582,detail,29,106175,3208
2988782,search_user,11,66028,544
2988664,search_other,1,90,2
2988118,login,3,243,48
2985552,search_user,28,112783,1195
2985020,register,2,354,113
2984300,search_user,1,409,83
2996743,else,10,21808,87998
2983620,search_user,5,20072,319
2983011,detail,21,79217,794
2981706,login,1,80,19
2981433,detail,3,11013,2760
2979188,edit_resume,1,700,23
2977625,search_multi,5,27949,155
2977331,search_other,1,2858,301
2976168,detail,29,38566,1204
2976093,search_user,1,0,87
2976437,else,7,8821,386
2975863,search_multi,2,1884,58
2975692,search_other,2,1081,22
2975666,search_other,2,1785,1372
2973911,detail,10,45019,312
2975453,else,2,1282,10
2974611,mypage_consider,15,11695,556
2973262,detail,6,19679,62
2971830,detail,7,16700,545
2972173,mypage_index,3,3191,165
2972016,search_user,3,16523,684
2971163,search_user,13,98440,986
2970293,register,2,1256,445
2969735,search_user,2,10362,175
2969433,detail,13,54960,8664
2969307,search_user,20,130012,1024
2967593,detail,5,15254,464
2967565,search_user,7,19416,330
2967394,search_other,3,23583,367
2966277,edit_scout,1,0,83
2966409,register,2,807,30
2966397,search_user,4,21897,72
2966285,detail,45,271155,12260
2965254,detail,6,31009,1121
2965616,search_user,15,125454,665
2965340,search_pref,5,26698,170
2972389,search_other,1,144,11256
2976850,search_multi,11,71273,69989
2979190,search_hello,44,147816,856825
2996094,search_multi,2,6970,6963
2985815,search_other,2,1015,5364
2998828,detail,10,14384,395
3000945,detail,57,300001,14448
2998568,search_city,2,2682,3873
2997815,register,2,632,75
2997141,search_user,8,76389,1265
2995360,search_user,7,27338,359
2996581,mypage_index,2,464,193
2993417,search_user,3,14459,3281
2992167,else,15,7278,936
2991941,edit_hope,1,154,16
2991029,detail,30,104641,1879
2987672,register,1,527,10
2984901,detail,13,35529,2337
2984895,mypage_scout,3,480,46
2981817,detail,5,3538,166
2982351,detail,6,18988,79
2981355,search_user,3,13375,49
2978905,detail,16,94390,626
2978719,register,1,377,68
2978646,mypage_index,7,0,136
2978332,detail,15,78568,864
2978014,detail,4,13544,122
2977606,register,1,624,108
2975906,detail,6,22238,463
2975777,detail,14,38064,542
2975454,detail,5,20365,711
2975691,search_pref,2,9514,123
2975666,edit_hope,1,176,25
2975463,search_other,2,5744,8
2973371,detail,6,30109,225
2974090,else,6,10579,162
2974477,entry,6,7127,717
2973577,mypage_index,1,0,18
2972103,search_city,4,27988,90
2971318,search_user,2,8976,57
2969828,mypage_index,2,1730,13
2969029,detail,5,15218,721
2968976,mypage_index,20,15913,2756
2968976,search_other,3,13205,70
2968289,detail,3,14401,203
2967668,mypage_scout,3,3384,367
2967202,detail,4,14694,68
2967060,detail,6,18502,206
2966999,else,7,3595,299
2966431,detail,4,3153,201
2966313,else,6,6642,147
2984709,register,3,485,160
2965710,search_city,1,6500,26
2966011,mypage_index,5,3177,536
2965980,search_user,4,85613,342
2965498,login,1,44,30
2965204,detail,2,17069,73
2965099,detail,13,97414,549
2982635,register,3,503,248762
2977966,search_other,1,763,3849
3000019,detail,11,56121,400
2996964,detail,19,70411,5200
2994859,search_user,7,10200,727
2993205,detail,9,46648,1865
2992633,edit_resume,2,7991,775
2991374,else,5,4141,334
2988774,detail,4,25987,1656
2987959,detail,3,12476,283
2984487,register,3,769,93
2988422,mypage_index,8,6463,1033
2981762,else,18,22946,5018
